Date  ,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
4/14/2013,5:50:00,84.70,31.62,28.017,8.555560,1026.42,74,0.00,0.00,157
4/14/2013,6:00:00,85.36,31.52,28.085,8.444440,1026.42,74,0.00,0.00,157
4/14/2013,6:10:00,85.35,31.32,27.783,8.277780,1026.42,74,0.00,0.00,-1
4/14/2013,6:20:00,75.61,31.68,25.091,8.333330,1026.45,74,0.00,1.61,157
4/14/2013,6:30:00,83.45,31.39,27.266,8.333330,1026.35,74,0.00,0.00,157
4/14/2013,6:40:00,83.04,31.48,27.263,8.277780,1026.32,74,0.00,0.00,157
4/14/2013,6:50:00,79.80,31.51,26.242,8.222220,1026.45,76,0.00,0.00,-1
4/14/2013,7:00:00,77.45,31.49,25.442,8.277780,1026.72,74,0.00,0.00,157
4/14/2013,7:10:00,77.87,31.61,25.744,8.500000,1026.82,74,0.00,0.00,-1
4/14/2013,7:20:00,84.43,31.46,27.690,8.611110,1026.82,76,0.00,1.61,337
4/14/2013,7:30:00,74.64,31.03,23.922,8.444440,1026.86,77,0.00,0.00,-1
4/14/2013,7:40:00,80.00,31.29,25.999,8.388890,1026.86,78,0.00,0.00,-1
4/14/2013,7:50:00,77.00,31.09,24.758,8.500000,1026.82,79,0.00,0.00,-1
4/14/2013,8:00:00,83.77,31.54,27.591,8.666670,1026.82,79,0.00,0.00,315
4/14/2013,8:10:00,69.46,31.50,22.829,8.888890,1026.86,79,0.00,0.00,315
4/14/2013,8:20:00,77.92,31.57,25.706,9.222220,1026.89,78,0.00,0.00,315
4/14/2013,8:30:00,87.88,31.47,28.837,9.777780,1026.86,77,0.00,1.61,315
4/14/2013,8:40:00,72.89,31.01,23.336,10.722200,1026.86,71,0.00,1.61,315
4/14/2013,8:50:00,84.10,31.13,27.098,11.222200,1026.79,68,0.00,0.00,315
4/14/2013,9:00:00,81.59,31.25,26.459,11.833300,1026.65,68,0.00,0.00,315
4/14/2013,9:10:00,74.30,31.34,24.212,12.500000,1026.69,65,0.00,0.00,315
4/14/2013,9:20:00,76.40,30.60,23.926,13.055600,1026.72,62,0.00,1.61,315
4/14/2013,9:30:00,80.78,30.78,25.544,13.666700,1026.55,61,0.00,0.00,315
4/14/2013,9:40:00,79.72,31.04,25.563,14.000000,1026.52,59,0.00,0.00,315
4/14/2013,9:50:00,82.08,30.94,26.179,14.388900,1026.59,58,0.00,1.61,45
4/14/2013,10:00:00,85.35,31.28,27.723,15.000000,1026.52,57,0.00,1.61,315
4/14/2013,10:10:00,79.70,31.42,26.083,15.166700,1026.55,56,0.00,1.61,315
4/14/2013,10:20:00,84.93,31.16,27.410,15.388900,1026.52,56,0.00,3.22,337
4/14/2013,10:30:00,75.88,31.26,24.621,15.666700,1026.55,56,0.00,1.61,292
4/14/2013,10:40:00,76.73,31.57,25.313,16.111100,1026.62,52,0.00,3.22,0
4/14/2013,10:50:00,77.27,31.24,25.045,16.222200,1026.52,53,0.00,0.00,315
4/14/2013,11:00:00,82.78,31.40,27.062,16.611100,1026.48,51,0.00,0.00,0
4/14/2013,11:10:00,79.54,31.47,26.100,17.000000,1026.38,51,0.00,0.00,315
4/14/2013,11:20:00,81.82,31.62,27.065,17.333300,1026.21,44,0.00,4.83,225
4/14/2013,11:30:00,77.23,31.41,25.261,18.055600,1026.08,44,0.00,0.00,247
4/14/2013,11:40:00,86.15,31.81,28.788,18.055600,1025.98,44,0.00,0.00,202
4/14/2013,11:50:00,83.25,31.54,27.420,18.111100,1025.81,43,0.00,1.61,180
4/14/2013,12:00:00,89.31,31.50,29.353,18.333300,1025.81,43,0.00,1.61,225
4/14/2013,12:10:00,85.19,31.33,27.746,18.055600,1025.77,43,0.00,1.61,0
4/14/2013,12:20:00,85.42,31.60,28.225,18.611100,1025.74,44,0.00,0.00,292
4/14/2013,12:30:00,66.61,31.44,21.822,19.111100,1025.74,44,0.00,4.83,292
4/14/2013,12:40:00,63.64,31.23,20.616,18.833300,1025.67,41,0.00,1.61,225
4/14/2013,12:50:00,78.85,31.73,26.236,18.611100,1025.57,42,0.00,1.61,225
4/14/2013,13:00:00,79.36,31.83,26.547,18.888900,1025.47,43,0.00,3.22,67
4/14/2013,13:10:00,74.50,32.06,25.228,19.388900,1025.40,46,0.00,0.00,112
4/14/2013,13:20:00,77.28,31.38,25.237,19.666700,1025.16,40,0.00,0.00,157
4/14/2013,13:30:00,86.23,31.49,28.326,19.611100,1025.06,41,0.00,1.61,112
4/14/2013,13:40:00,69.13,31.11,22.251,20.500000,1024.99,42,0.00,1.61,315
4/14/2013,13:50:00,85.48,31.69,28.381,20.777800,1024.99,41,0.00,1.61,315
4/14/2013,14:00:00,78.34,31.79,26.150,20.333300,1024.96,45,0.00,3.22,292
4/14/2013,14:10:00,83.22,31.78,27.764,20.333300,1024.89,42,0.00,1.61,247
4/14/2013,14:20:00,77.14,31.56,25.435,20.055600,1024.96,43,0.00,1.61,247
4/14/2013,14:30:00,87.83,32.17,29.917,20.722200,1024.89,46,0.00,4.83,337
4/14/2013,14:40:00,94.39,32.14,32.100,20.333300,1024.89,44,0.00,4.83,292
4/14/2013,14:50:00,74.45,32.03,25.171,20.388900,1024.76,44,0.00,3.22,270
4/14/2013,15:00:00,82.89,32.23,28.325,20.777800,1024.79,39,0.00,0.00,337
4/14/2013,15:10:00,76.02,32.44,26.269,21.222200,1024.62,42,0.00,3.22,225
4/14/2013,15:20:00,91.43,32.00,30.863,21.333300,1024.45,44,0.00,3.22,225
4/14/2013,15:30:00,76.11,32.31,26.119,21.388900,1024.28,42,0.00,0.00,180
4/14/2013,15:40:00,79.43,32.07,26.912,21.666700,1024.28,40,0.00,1.61,225
4/14/2013,15:50:00,86.05,31.84,28.800,21.944400,1024.18,41,0.00,4.83,292
4/14/2013,16:00:00,93.56,31.85,31.330,21.666700,1024.11,39,0.00,1.61,247
4/14/2013,16:10:00,89.67,32.24,30.658,22.055600,1024.05,41,0.00,1.61,270
4/14/2013,16:20:00,90.16,32.12,30.629,21.777800,1023.98,40,0.00,6.44,315
4/14/2013,16:30:00,77.83,31.86,26.077,21.222200,1024.05,39,0.00,4.83,0
4/14/2013,16:40:00,81.55,32.14,27.734,21.222200,1023.95,38,0.00,1.61,67
4/14/2013,16:50:00,83.99,31.81,28.066,21.500000,1023.84,37,0.00,3.22,0
4/14/2013,17:00:00,85.87,32.18,29.265,22.055600,1023.81,37,0.00,3.22,337
4/14/2013,17:10:00,86.97,31.75,28.968,21.666700,1023.78,37,0.00,4.83,0
4/14/2013,17:20:00,78.66,31.96,26.496,21.944400,1023.61,35,0.00,3.22,292
4/14/2013,17:30:00,90.16,32.07,30.548,22.555600,1023.57,35,0.00,3.22,337
4/14/2013,17:40:00,87.15,32.01,29.434,22.222200,1023.57,34,0.00,6.44,0
4/14/2013,17:50:00,76.91,31.97,25.920,22.000000,1023.51,35,0.00,3.22,0
4/14/2013,18:00:00,81.85,32.10,27.777,22.111100,1023.37,36,0.00,0.00,292
