timestamp,mik innen-a_1,mik innen-a_2,miks boden-_1,miks boden-_2,miks kanal-_1,miks kanal-_2,Date,Time,HumidityHive,TemperatureHive,WatervapourdenHive,TemperatureOutside,Barometer,HumidyOutside,Rain,WindSpeed,WindDir
2013-04-13 15:30:00,3284.52058652817,3252.66410223228,2026.35668838262,1924.86044064678,1592.97434420898,1148.3149486799,4/13/2013,15:30:00,79.52,30.42,24.663,13.8333,1022.76,48,0,4.83,225
2013-04-13 15:40:00,3207.23646794027,3442.4266097882,1950.41307297142,1764.24522714893,1592.67432591084,1067.22427864558,4/13/2013,15:40:00,79.44,30.66,24.959,14.6667,1022.62,51,0,1.61,292
2013-04-13 15:50:00,3270.89516563663,3283.04663219809,2029.93498046857,1687.33406900601,1670.90015972051,1111.75362161142,4/13/2013,15:50:00,78.94,30.12,24.089,15.1667,1022.56,48,0,3.22,270
2013-04-13 16:00:00,3206.7604182974,3105.95961119392,1908.04442613104,1709.00386364628,1711.16347837616,1125.22148121996,4/13/2013,16:00:00,82.46,30.53,25.727,15,1022.49,48,0,6.44,225
2013-04-13 16:10:00,3243.59223037483,3235.27975310536,1960.09370300441,1827.3998339223,1645.05794224793,1107.7318115732,4/13/2013,16:10:00,79.94,30.55,24.967,15,1022.46,48,0,6.44,225
2013-04-13 16:20:00,3551.25975483788,2996.62867043776,1987.92498689677,1775.29954305621,1686.54852631749,1066.64752352712,4/13/2013,16:20:00,71.66,30.41,22.213,15,1022.46,46,0,4.83,225
2013-04-13 16:30:00,3226.03769471117,3158.38678026888,1995.6382879276,1826.04277833416,1698.669148034,1146.12757811423,4/13/2013,16:30:00,77.44,30.66,24.33,14.8889,1022.49,49,0,6.44,225
2013-04-13 16:40:00,3413.38628453536,2869.62569712015,2074.30999977276,1790.67941230982,1771.29301092255,1072.63429285319,4/13/2013,16:40:00,70.28,30.53,21.927,15,1022.39,48,0,4.83,180
2013-04-13 16:50:00,3461.14055236895,2440.85983274228,2130.80224514018,1881.87450736582,1792.73842526236,1155.19435798893,4/13/2013,16:50:00,78.48,30.8,24.843,15,1022.32,46,0,4.83,292
2013-04-13 17:00:00,3362.39793205595,2259.58659060277,1858.52399545847,1759.79493938104,1858.46879010614,1302.42512808604,4/13/2013,17:00:00,78.69,30.85,24.977,15,1022.32,46,0,3.22,225
2013-04-13 17:10:00,3353.16451611583,2646.37578444039,1859.25985650858,1708.13712058218,1839.74625717767,1367.73772204757,4/13/2013,17:10:00,75.25,30.97,24.039,15.2222,1022.35,46,0,3.22,292
2013-04-13 17:20:00,3581.15886526062,2732.75081428746,1905.19047545098,1691.92812640323,2048.68779570853,1070.0607804277,4/13/2013,17:20:00,87.34,31.08,28.067,15.2222,1022.46,45,0,1.61,247
2013-04-13 17:30:00,3768.20470080063,3801.26080177493,1894.34162472197,1712.41464229313,2032.21706420754,1173.73130145212,4/13/2013,17:30:00,76.19,31.29,24.761,15.3889,1022.56,45,0,3.22,315
2013-04-13 17:40:00,3624.26677777019,2839.44208790252,2016.16695138253,1922.51431670939,2205.84082970845,1117.61118043875,4/13/2013,17:40:00,80.04,31.22,25.915,15,1022.59,45,0,4.83,225
2013-04-13 17:50:00,NA,NA,NA,NA,NA,NA,4/13/2013,17:50:00,90.76,31.2,29.355,15,1022.66,46,0,4.83,225
2013-04-13 18:00:00,NA,NA,NA,NA,NA,NA,4/13/2013,18:00:00,77.47,31.12,24.949,15.1667,1022.66,46,0,4.83,270
2013-04-13 18:10:00,NA,NA,NA,NA,NA,NA,4/13/2013,18:10:00,88,31.04,28.219,14.8889,1022.66,46,0,1.61,247
2013-04-13 18:20:00,NA,NA,NA,NA,NA,NA,4/13/2013,18:20:00,79.51,30.94,25.36,15,1022.73,46,0,4.83,292
2013-04-13 18:30:00,NA,NA,NA,NA,NA,NA,4/13/2013,18:30:00,80.05,30.61,25.083,14.6667,1022.62,47,0,0,270
2013-04-13 18:40:00,NA,NA,NA,NA,NA,NA,4/13/2013,18:40:00,86.84,30.6,27.196,14.3889,1022.79,47,0,1.61,225
2013-04-13 18:50:00,NA,NA,NA,NA,NA,NA,4/13/2013,18:50:00,83.35,30.67,26.201,14.3333,1022.83,47,0,1.61,225
2013-04-13 19:00:00,3561.90591103318,2659.20239083715,1700.52108921721,1548.15662053914,2554.34906115236,1252.44917584591,4/13/2013,19:00:00,78.5,30.36,24.268,14.2778,1022.79,47,0,0,247
2013-04-13 19:10:00,3604.06138023541,2497.40353764095,1681.28371282546,1584.26792988281,2936.84320090925,1323.01272976398,4/13/2013,19:10:00,78.92,30.61,24.729,14.1667,1022.83,48,0,0,225
2013-04-13 19:20:00,3818.39338764553,2660.02715654222,1577.37828813657,1618.60454451034,2681.76435837478,2836.96796509845,4/13/2013,19:20:00,82.69,30.78,26.148,14.0556,1022.86,49,0,0,225
2013-04-13 19:30:00,3621.8753018345,2865.80949325767,1655.07438868037,1521.45944339515,3000.60859385711,2542.06790906977,4/13/2013,19:30:00,80.48,30.82,25.504,13.9444,1023.06,50,0,0,202
2013-04-13 19:40:00,3709.95218134358,2885.6717140525,1824.15295601065,1615.5758854138,3138.73621197775,2658.77663893458,4/13/2013,19:40:00,83.36,30.81,26.402,13.7222,1023.27,52,0,0,202
2013-04-13 19:50:00,3662.66465462269,2159.40065423861,1617.63893209467,1628.2747797374,2757.65564048293,3149.22957007746,4/13/2013,19:50:00,86.39,30.81,27.362,13.6111,1023.3,51,0,0,202
2013-04-13 20:00:00,3800.39033011317,1793.55476983335,1649.06126466493,1563.18423270301,2782.20059708832,2798.90877007607,4/13/2013,20:00:00,81.5,30.75,25.73,13.5556,1023.3,52,0,0,202
2013-04-13 20:10:00,3699.0644737796,1878.06306941024,1730.42288000229,1624.21420638872,2526.42102945591,1202.91308061846,4/13/2013,20:10:00,86.09,30.89,27.384,13.2222,1023.34,56,0,0,-1
2013-04-13 20:20:00,3983.73022622851,1799.52862307478,1695.2083883156,1607.92990327713,2653.09731315131,3193.5736120963,4/13/2013,20:20:00,86.4,30.87,27.454,12.6667,1023.4,61,0,0,202
2013-04-13 20:30:00,NA,NA,NA,NA,NA,NA,4/13/2013,20:30:00,88.46,30.9,28.154,11.7222,1023.51,66,0,1.61,202
2013-04-13 20:40:00,NA,NA,NA,NA,NA,NA,4/13/2013,20:40:00,87.36,30.64,27.418,10.8333,1023.74,68,0,0,202
2013-04-13 20:50:00,NA,NA,NA,NA,NA,NA,4/13/2013,20:50:00,86.31,31.05,27.691,10.1667,1023.84,72,0,0,202
2013-04-13 21:00:00,NA,NA,NA,NA,NA,NA,4/13/2013,21:00:00,82.6,31,26.43,9.61111,1024.15,73,0,0,202
2013-04-13 21:10:00,NA,NA,NA,NA,NA,NA,4/13/2013,21:10:00,84.66,31.07,27.191,9.16667,1024.28,74,0,0,-1
2013-04-13 21:20:00,NA,NA,NA,NA,NA,NA,4/13/2013,21:20:00,79.05,31.03,25.335,8.77778,1024.55,75,0,0,-1
2013-04-13 21:30:00,NA,NA,NA,NA,NA,NA,4/13/2013,21:30:00,86.69,31.31,28.204,8.61111,1024.66,77,0,0,202
2013-04-13 21:40:00,NA,NA,NA,NA,NA,NA,4/13/2013,21:40:00,84.15,31.17,27.173,8.38889,1024.76,77,0,0,202
2013-04-13 21:50:00,NA,NA,NA,NA,NA,NA,4/13/2013,21:50:00,80.03,31.06,25.69,8.16667,1024.86,79,0,1.61,202
2013-04-13 22:00:00,3132.75350806734,2451.14391473248,1469.03591137281,1363.43806217369,2195.72037568584,1722.31596964765,4/13/2013,22:00:00,75.78,31.18,24.483,7.83333,1024.89,79,0,0,202
2013-04-13 22:10:00,3616.36842960503,1750.18395832592,1716.07020283142,1580.1720531451,2506.3921462931,3111.363182054,4/13/2013,22:10:00,84.56,31.06,27.145,7.61111,1025.03,79,0,0,202
